what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908034635
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1400908036506
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400908048363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908049536
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908052416
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400908072424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908073600
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908082718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400908100426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908101480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908131099
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1400908132866
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1400908160225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400908176988
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400908188850
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908190121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908192062
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1400908194330
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400908227814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908229289
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400908233024
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1400908237305
